"Data";"Último";"Abertura";"Máxima";"Mínima";"Vol";"Var%"
"25.06.2021";"1777.80";"1775.70";"1791.00";"1773.60";"-";"0.06%"
"24.06.2021";"1776.70";"1778.20";"1788.60";"1772.70";"152.23K";"-0.38%"
"23.06.2021";"1783.40";"1779.10";"1795.60";"1773.10";"179.27K";"0.34%"
"22.06.2021";"1777.40";"1783.20";"1790.10";"1771.20";"172.75K";"-0.31%"
"21.06.2021";"1782.90";"1764.30";"1786.90";"1764.10";"195.52K";"0.77%"
"20.06.2021";"1769.35";"1762.95";"1770.20";"1762.95";"-";"0.02%"
"18.06.2021";"1769.00";"1773.90";"1797.90";"1761.20";"264.61K";"-0.33%"
"17.06.2021";"1774.80";"1812.30";"1826.40";"1767.90";"385.89K";"-4.65%"
"16.06.2021";"1861.40";"1861.00";"1866.00";"1804.40";"234.10K";"0.27%"
"15.06.2021";"1856.40";"1867.80";"1870.90";"1853.00";"155.34K";"-0.51%"
"14.06.2021";"1865.90";"1879.60";"1879.70";"1845.70";"242.30K";"-0.73%"
"11.06.2021";"1879.60";"1901.90";"1906.20";"1876.10";"220.46K";"-0.89%"
"10.06.2021";"1896.40";"1891.40";"1903.00";"1871.80";"250.55K";"0.05%"
"09.06.2021";"1895.50";"1894.40";"1901.70";"1889.30";"147.33K";"0.06%"
"08.06.2021";"1894.40";"1901.60";"1906.90";"1885.70";"173.60K";"-0.23%"
"07.06.2021";"1898.80";"1894.30";"1902.90";"1883.70";"146.02K";"0.36%"
"04.06.2021";"1892.00";"1872.70";"1899.00";"1855.60";"228.83K";"1.00%"
"03.06.2021";"1873.30";"1910.50";"1912.30";"1866.70";"278.58K";"-1.92%"
"02.06.2021";"1909.90";"1903.00";"1911.80";"1896.40";"166.04K";"0.26%"
"01.06.2021";"1905.00";"1906.80";"1919.20";"1894.50";"290.65K";"-0.32%"
"31.05.2021";"1911.15";"1906.80";"1913.40";"1904.85";"-";"0.23%"
"30.05.2021";"1906.75";"1907.60";"1907.90";"1906.10";"-";"0.08%"
"28.05.2021";"1905.30";"1899.80";"1908.80";"1884.30";"198.14K";"0.36%"
"27.05.2021";"1898.50";"1899.30";"1906.50";"1890.80";"211.79K";"-0.28%"
"26.05.2021";"1903.80";"1902.40";"1915.60";"1893.00";"178.18K";"0.17%"
"25.05.2021";"1900.50";"1883.40";"1903.70";"1875.40";"176.60K";"0.73%"
"24.05.2021";"1886.70";"1885.60";"1890.00";"1877.90";"55.84K";"0.42%"
"21.05.2021";"1878.90";"1880.40";"1892.30";"1872.50";"53.04K";"-0.27%"
"20.05.2021";"1883.90";"1872.20";"1887.20";"1866.20";"44.91K";"0.03%"
"19.05.2021";"1883.40";"1872.20";"1893.20";"1854.40";"58.81K";"0.71%"
"18.05.2021";"1870.10";"1869.10";"1877.80";"1865.60";"49.55K";"0.03%"
"17.05.2021";"1869.60";"1843.50";"1871.10";"1843.10";"42.11K";"1.61%"
"14.05.2021";"1840.00";"1829.30";"1849.00";"1821.30";"24.14K";"0.76%"
"13.05.2021";"1826.10";"1816.60";"1830.90";"1810.70";"41.80K";"0.07%"
"12.05.2021";"1824.80";"1840.20";"1846.50";"1815.00";"55.16K";"-0.72%"
"11.05.2021";"1838.10";"1837.60";"1844.30";"1819.80";"71.63K";"-0.09%"
"10.05.2021";"1839.80";"1836.10";"1848.40";"1832.80";"64.97K";"0.34%"
"07.05.2021";"1833.50";"1817.30";"1846.50";"1815.70";"26.44K";"0.86%"
"06.05.2021";"1817.90";"1789.00";"1820.50";"1784.10";"23.09K";"1.76%"
"05.05.2021";"1786.50";"1780.90";"1790.20";"1771.50";"20.46K";"0.47%"
"04.05.2021";"1778.20";"1795.10";"1801.60";"1771.60";"9.94K";"-0.88%"
"03.05.2021";"1794.00";"1770.40";"1800.80";"1768.50";"7.92K";"1.37%"
"30.04.2021";"1769.80";"1773.90";"1775.00";"1765.60";"17.31K";"-0.04%"
"29.04.2021";"1770.50";"1784.20";"1791.50";"1756.80";"8.69K";"-0.32%"
"28.04.2021";"1776.10";"1777.30";"1784.70";"1763.90";"5.98K";"-0.28%"
"27.04.2021";"1781.00";"1783.20";"1787.80";"1776.60";"7.80K";"-0.07%"
"26.04.2021";"1782.30";"1776.00";"1784.90";"1770.80";"3.72K";"0.13%"
"23.04.2021";"1779.90";"1786.30";"1798.20";"1771.70";"5.12K";"-0.23%"
"22.04.2021";"1784.00";"1797.00";"1800.00";"1779.30";"213K";"-0.62%"
"21.04.2021";"1795.20";"1780.60";"1800.00";"1779.00";"3.26K";"0.83%"
"20.04.2021";"1780.40";"1772.70";"1782.60";"1765.80";"1.91K";"0.43%"
"19.04.2021";"1772.70";"1780.10";"1791.70";"1768.60";"1.87K";"-0.53%"
"16.04.2021";"1782.20";"1766.20";"1786.20";"1763.70";"257K";"0.76%"
"15.04.2021";"1768.80";"1738.80";"1772.40";"1736.80";"3.88K";"1.76%"
"14.04.2021";"1738.20";"1748.40";"1752.50";"1734.70";"279K";"-0.65%"
"13.04.2021";"1749.50";"1734.70";"1751.20";"1725.50";"4.27K";"0.86%"
"12.04.2021";"1734.60";"1745.20";"1748.00";"1729.60";"3.63K";"-0.70%"
"09.04.2021";"1746.80";"1757.30";"1759.00";"1732.90";"4.02K";"-0.77%"
"08.04.2021";"1760.30";"1739.50";"1761.20";"1735.80";"4.00K";"0.96%"
"07.04.2021";"1743.60";"1746.60";"1747.20";"1734.00";"1.72K";"-0.08%"
"06.04.2021";"1745.00";"1731.80";"1748.30";"1730.70";"3.87K";"0.83%"
"05.04.2021";"1730.70";"1732.10";"1735.90";"1723.60";"1.37K";"0.02%"
"01.04.2021";"1730.30";"1711.40";"1733.20";"1708.80";"220K";"0.75%"
"31.03.2021";"1717.50";"1687.30";"1718.10";"1679.40";"271K";"1.75%"
"30.03.2021";"1687.90";"1714.80";"1715.80";"1680.60";"272K";"-1.67%"
"29.03.2021";"1716.50";"1736.30";"1736.30";"1707.50";"4.05K";"-1.15%"
"26.03.2021";"1736.50";"1729.90";"1738.90";"1723.20";"3.39K";"0.43%"
"25.03.2021";"1729.10";"1738.00";"1748.80";"1725.00";"295K";"-0.47%"
"24.03.2021";"1737.20";"1730.70";"1741.50";"1729.00";"3.96K";"0.45%"
"23.03.2021";"1729.50";"1743.10";"1746.00";"1727.20";"3.55K";"-0.74%"
"22.03.2021";"1742.40";"1745.00";"1745.90";"1730.70";"256K";"-0.19%"
"19.03.2021";"1745.80";"1739.50";"1750.00";"1731.70";"272K";"0.54%"
"18.03.2021";"1736.50";"1751.20";"1758.00";"1722.10";"1.44K";"0.31%"
"17.03.2021";"1731.10";"1732.00";"1754.00";"1727.50";"1.69K";"-0.24%"
"16.03.2021";"1735.20";"1733.70";"1743.80";"1731.00";"1.39K";"0.08%"
"15.03.2021";"1733.80";"1730.00";"1737.30";"1724.80";"0.55K";"0.55%"
"12.03.2021";"1724.30";"1726.30";"1732.40";"1701.60";"1.14K";"-0.17%"
"11.03.2021";"1727.20";"1729.50";"1742.50";"1722.50";"4.24K";"0.04%"
"10.03.2021";"1726.50";"1719.50";"1728.70";"1711.30";"7.20K";"0.27%"
"09.03.2021";"1721.90";"1687.30";"1722.30";"1687.30";"4.59K";"232%"
"08.03.2021";"1682.90";"1711.80";"1715.70";"1678.40";"7.90K";"-1.23%"
"05.03.2021";"1703.80";"1696.80";"1709.70";"1690.80";"3.17K";"-0.12%"
"04.03.2021";"1705.90";"1712.20";"1725.60";"1693.00";"4.05K";"-0.88%"
"03.03.2021";"1721.00";"1734.60";"1734.60";"1705.00";"219K";"-1.02%"
"02.03.2021";"1738.80";"1725.50";"1742.60";"1709.70";"3.86K";"0.61%"
"01.03.2021";"1728.20";"1738.10";"1762.00";"1723.00";"1.83K";"-0.33%"
"26.02.2021";"1734.00";"1773.60";"1777.00";"1720.80";"5.07K";"-2.63%"
"25.02.2021";"1780.80";"1805.50";"1805.50";"1769.90";"1.97K";"-1.22%"
"24.02.2021";"1802.80";"1810.50";"1814.80";"1787.90";"0.90K";"-0.43%"
"23.02.2021";"1810.50";"1816.80";"1817.40";"1799.70";"0.93K";"-0.15%"
"22.02.2021";"1813.20";"1791.00";"1816.80";"1786.40";"0.78K";"1.74%"
"19.02.2021";"1782.20";"1771.30";"1794.40";"1765.00";"1.11K";"0.13%"
"18.02.2021";"1779.90";"1784.60";"1792.60";"1773.20";"1.48K";"0.12%"
"17.02.2021";"1777.70";"1792.00";"1798.00";"1773.00";"1.97K";"-1.45%"
