"Data";"Último";"Abertura";"Máxima";"Mínima";"Vol.";"Var%"
"25.06.2021";"26,087";"26,010";"26,380";"25,970";"-";"0,14%"
"24.06.2021";"26,050";"25,935";"26,245";"25,865";"53,06K";"-0,23%"
"23.06.2021";"26,111";"25,835";"26,370";"25,800";"66,10K";"0,98%"
"22.06.2021";"25,857";"25,995";"26,085";"25,735";"54,12K";"-0,65%"
"21.06.2021";"26,025";"25,865";"26,135";"25,580";"66,36K";"0,37%"
"20.06.2021";"25,930";"25,835";"25,977";"25,830";"-";"-0,15%"
"18.06.2021";"25,969";"25,950";"26,555";"25,770";"88,18K";"0,44%"
"17.06.2021";"25,856";"27,005";"27,320";"25,820";"156,97K";"-7,03%"
"16.06.2021";"27,812";"27,795";"27,970";"26,700";"74,31K";"0,43%"
"15.06.2021";"27,693";"28,000";"28,030";"27,485";"63,84K";"-1,23%"
"14.06.2021";"28,039";"28,095";"28,160";"27,565";"61,12K";"0,30%"
"13.06.2021";"27,955";"28,050";"28,122";"27,948";"-";"-0,68%"
"11.06.2021";"28,146";"28,145";"28,445";"28,025";"75,34K";"0,41%"
"10.06.2021";"28,031";"27,905";"28,180";"27,475";"82,06K";"0,10%"
"09.06.2021";"28,002";"27,735";"28,145";"27,620";"64,18K";"0,98%"
"08.06.2021";"27,731";"28,025";"28,120";"27,610";"70,19K";"-1,02%"
"07.06.2021";"28,018";"27,910";"28,085";"27,595";"63,09K";"0,50%"
"06.06.2021";"27,878";"27,918";"27,918";"27,863";"-";"-0,06%"
"04.06.2021";"27,896";"27,530";"27,980";"27,310";"76,80K";"1,52%"
"03.06.2021";"27,477";"28,295";"28,370";"27,090";"106,48K";"-2,58%"
"02.06.2021";"28,204";"27,995";"28,320";"27,765";"53,89K";"0,36%"
"01.06.2021";"28,102";"28,060";"28,710";"27,930";"108,88K";"-0,32%"
"31.05.2021";"28,192";"28,055";"28,258";"27,997";"-";"0,48%"
"30.05.2021";"28,058";"28,060";"28,085";"28,035";"-";"0,16%"
"28.05.2021";"28,014";"27,980";"28,095";"27,480";"66,46K";"0,26%"
"27.05.2021";"27,940";"27,765";"27,995";"27,575";"56,81K";"0,23%"
"26.05.2021";"27,877";"28,105";"28,340";"27,685";"65,97K";"-0,64%"
"25.05.2021";"28,056";"27,880";"28,160";"27,545";"69,31K";"0,54%"
"24.05.2021";"27,905";"27,690";"28,015";"27,550";"51,12K";"0,90%"
"23.05.2021";"27,657";"27,648";"27,677";"27,598";"-";"0,62%"
"21.05.2021";"27,486";"27,870";"28,195";"27,265";"78,64K";"-2,07%"
"20.05.2021";"28,067";"27,840";"28,125";"27,490";"55,96K";"0,15%"
"19.05.2021";"28,025";"28,300";"28,365";"27,425";"109,07K";"-1,09%"
"18.05.2021";"28,333";"28,325";"28,900";"28,120";"77,21K";"0,21%"
"17.05.2021";"28,274";"27,515";"28,435";"27,440";"86,80K";"2,51%"
"16.05.2021";"27,582";"27,483";"27,610";"27,455";"-";"0,79%"
"14.05.2021";"27,365";"27,190";"27,595";"26,920";"58,61K";"1,13%"
"13.05.2021";"27,059";"27,095";"27,330";"26,780";"63,63K";"-0,68%"
"12.05.2021";"27,244";"27,760";"27,830";"27,030";"77,86K";"-1,53%"
"11.05.2021";"27,667";"27,400";"27,780";"27,180";"62,13K";"0,64%"
"10.05.2021";"27,492";"27,680";"28,005";"27,320";"65,17K";"-0,99%"
"09.05.2021";"27,767";"27,560";"27,780";"27,560";"-";"1,06%"
"07.05.2021";"27,477";"27,450";"27,800";"27,230";"80,78K";"0,00%"
"06.05.2021";"27,477";"26,590";"27,585";"26,245";"90,93K";"3,60%"
"05.05.2021";"26,522";"26,595";"26,710";"26,165";"40,71K";"-0,14%"
"04.05.2021";"26,558";"27,015";"27,240";"26,160";"76,95K";"-1,49%"
"03.05.2021";"26,960";"25,990";"27,115";"25,850";"77,32K";"4,02%"
